,0
115,1020198672225611776
116,87383637
117,714065489752764416
118,1202805384471293952
119,1074247769617969152
120,1123112143124140032
121,1095457533358043136
122,1168020375399043072
123,2902816279
124,3102721038
125,1156438585597235200
126,149288265
127,3033128918
128,1138406566061719552
129,633663636
130,1203297582673465344
131,2645170038
132,803940419692216320
133,912403562
134,2609394577
135,962795642337640448
136,1519175312
137,1084815273251631104
138,1199101194859212800
139,1163246979746373632
140,1205299340639522816
141,246690376
142,931880017520312320
143,1073464654075023360
144,1200385680469192704
145,1101657287347920896
146,1005290608695566336
147,518145713
148,1090786740120535040
149,1196219959937912832
150,1020334951831547904
151,915844824980275200
152,1193813318479298560
153,56861731
154,942250497271984128
155,261592871
156,1203896890808401920
157,1141952118368034816
158,1161268759434149888
159,1204051614396366848
160,1199987411926835200
161,796866542189195264
162,1199987411926835200
163,1034976292356030464
164,963312874306195456
165,1076107977407455232
166,1186466084603301888
167,1120143309341691904
168,1101651734756315136
169,1123142601799077888
170,1190517725858160640
171,1120143309341691904
172,1196385322776637440
173,1132086050493304832
174,1064425190388428800
175,3251082536
176,1204093504391008256
177,151063104
178,1190517725858160640
179,1111225711895797760
180,1156815411637153792
181,902701876637966336
182,281883030
183,1038703584920068096
184,1147914506745466880
185,547390648
186,1144690402651336704
187,1179731779059453952
188,1175009951460155392
189,1132191489776185344
190,1201518983528288256
191,995486095696687104
192,168056626
193,1204790287714775040
194,1133647008345075712
195,1131720936963444736
196,716467600339828736
197,1203640240239341568
198,1205283894523834368
199,1194185517954265088
200,826299514990387200
201,1204659478454362112
202,706041386538151936
203,1144690402651336704
204,1199930181311270912
205,1123220298088763392
206,1119216406946512896
207,293286943
208,978208963153027072
209,879161563
210,1123140857929007104
211,871616884054949888
212,1176531130767564800
213,1122847934175961088
214,1162386700057763840
215,1189034814529163264
216,777478065295273984
217,1001290364681048064
218,910100599248580608
219,1197012399376625664
220,1024270488149811200
221,1188184590411694080
222,3007447208
223,1004339527060606976
224,714229506492346368
225,78667669
226,1186104559724138496
227,3018232849
228,1176406175702601728
229,98074428
230,1058089457247645696
231,944147267711262720
232,524456531
233,889075217682661376
234,869474619333394432
235,1142185162823720960
236,3000850004
237,1196530065758183424
238,932299697221279744
239,1082533299023622144
240,1101612776584294400
241,1125467767623299072
242,1022057646851936256
243,1201730791098601472
244,1154932502072459264
245,1197513129082736640
246,1199662458266238976
247,890956369775411200
248,1172185471499112448
249,342098555
250,1128630536606339072
251,1112946720114008064
252,1175784633679507456
253,1192265079665741824
254,1023935797999820800
255,1214550114
256,1160111357984833536
257,916997782220582912
258,1197140423178776576
259,1953353484
260,1000694002738343936
261,1193111634807410688
262,55539832
263,1070481119609384960
264,1539822534
265,1120292940109074432
266,1137517856638193664
267,1192007722423574528
268,1204007227540951040
269,1121453650960719872
270,1108692326002487296
271,3251082536
272,1187662946408681472
273,1175316274651394048
274,1126704649405206528
275,1179894528540647424
276,1143236611334955008
277,1200774954825838592
278,95777277
279,804034292
280,3306833378
281,1200290317758394368
282,1094119876074004480
283,956121280708669440
284,1106036355656638464
285,1204558204820082688
286,879642781731266560
287,1202099635612991488
288,1162022821196791808
289,1114922551678054400
290,1185063603134615552
291,2833370773
292,911577253489778688
293,1178209400990896128
294,956700321429901312
295,246690376
296,1093399618908413952
297,1122791788136124416
298,2493673532
299,1196385322776637440
300,1199021672323371008
301,1186301792071516160
302,1183751895896080384
303,1204858383011991552
